Symbol,Name,Exchange,Sector,Industry,MarketCap,LastPrice,RiskLevel,TotalScore,IsLegitimate,DataSource,SignalSummary
"HON","Honeywell International Inc. Common Stock","NASDAQ","Unknown","Unknown",123860145409,195.08999633789062,"LOW",0,true,"yahoo","None"
"SNY","Sanofi ADS","NASDAQ","Unknown","Unknown",118994138076,48.459999084472656,"LOW",0,true,"yahoo","None"
"CRWD","CrowdStrike Holdings, Inc. Class A Common Stock","NASDAQ","Unknown","Unknown",118173664734,468.760009765625,"LOW",0,true,"yahoo","None"
"ARM","Arm Holdings plc American Depositary Shares","NASDAQ","Unknown","Unknown",115788147731,109.30999755859375,"LOW",0,true,"yahoo","None"
"VRTX","Vertex Pharmaceuticals Incorporated Common Stock","NASDAQ","Unknown","Unknown",115025969222,453.3599853515625,"LOW",0,true,"yahoo","None"
"CEG","Constellation Energy Corporation Common Stock","NASDAQ","Unknown","Unknown",110322716562,353.2699890136719,"LOW",0,true,"yahoo","None"
"CMCSA","Comcast Corporation Class A Common Stock","NASDAQ","Unknown","Unknown",108916006754,29.889999389648438,"LOW",1,true,"yahoo","OVERBOUGHT_RSI"
"ADP","Automatic Data Processing, Inc. Common Stock","NASDAQ","Unknown","Unknown",104036350419,257.2300109863281,"LOW",0,true,"yahoo","None"
"MELI","MercadoLibre, Inc. Common Stock","NASDAQ","Unknown","Unknown",102117305815,2014.260009765625,"LOW",0,true,"yahoo","None"
"HOOD","Robinhood Markets, Inc. Class A Common Stock","NASDAQ","Unknown","Unknown",101698261084,113.0999984741211,"LOW",0,true,"yahoo","None"
"CME","CME Group Inc. Class A Common Stock","NASDAQ","Unknown","Unknown",98471732363,273.0799865722656,"LOW",0,true,"yahoo","None"
"DASH","DoorDash, Inc. Class A Common Stock","NASDAQ","Unknown","Unknown",97612544583,226.47999572753906,"LOW",0,true,"yahoo","None"
"SBUX","Starbucks Corporation Common Stock","NASDAQ","Unknown","Unknown",95755191000,84.20999908447266,"LOW",0,true,"yahoo","None"
"SNPS","Synopsys, Inc. Common Stock","NASDAQ","Unknown","Unknown",89865987722,469.7200012207031,"LOW",0,true,"yahoo","None"
"NTES","NetEase, Inc. American Depositary Shares","NASDAQ","Unknown","Unknown",87140747844,137.6199951171875,"LOW",0,true,"yahoo","None"
"CDNS","Cadence Design Systems, Inc. Common Stock","NASDAQ","Unknown","Unknown",85084588580,312.5799865722656,"LOW",0,true,"yahoo","None"
"ABNB","Airbnb, Inc. Class A Common Stock","NASDAQ","Unknown","Unknown",83542412884,135.72000122070312,"MEDIUM",2,true,"yahoo","OVERBOUGHT_RSI"
"MAR","Marriott International Class A Common Stock","NASDAQ","Unknown","Unknown",83253460881,310.239990234375,"LOW",1,true,"yahoo","OVERBOUGHT_RSI"
"REGN","Regeneron Pharmaceuticals, Inc. Common Stock","NASDAQ","Unknown","Unknown",81123123278,771.8699951171875,"LOW",1,true,"yahoo","OVERBOUGHT_RSI"
"SATA","Strive, Inc. Variable Rate Series A Perpetual Preferred Stock","NASDAQ","Unknown","Unknown",77544336475,95.08999633789062,"LOW",1,false,"yahoo","OVERBOUGHT_RSI"
"ORLY","O'Reilly Automotive, Inc. Common Stock","NASDAQ","Unknown","Unknown",76990734231,91.20999908447266,"LOW",0,true,"yahoo","None"
"CTAS","Cintas Corporation Common Stock","NASDAQ","Unknown","Unknown",75579066131,188.07000732421875,"LOW",0,true,"yahoo","None"
"EQIX","Equinix, Inc. Common Stock REIT","NASDAQ","Unknown","Unknown",75226245520,766.1599731445312,"LOW",0,true,"yahoo","None"
"MNST","Monster Beverage Corporation","NASDAQ","Unknown","Unknown",74908216631,76.66999816894531,"LOW",0,true,"yahoo","None"
"MRVL","Marvell Technology, Inc. Common Stock","NASDAQ","Unknown","Unknown",72071538000,84.9800033569336,"LOW",0,true,"yahoo","None"
"WBD","Warner Bros. Discovery, Inc. Series A Common Stock","NASDAQ","Unknown","Unknown",71415225349,28.81999969482422,"LOW",0,true,"yahoo","None"
"MDLZ","Mondelez International, Inc. Class A Common Stock","NASDAQ","Unknown","Unknown",69459997624,53.83000183105469,"LOW",0,true,"yahoo","None"
"CSX","CSX Corporation Common Stock","NASDAQ","Unknown","Unknown",67502464655,36.25,"LOW",0,true,"yahoo","None"
"ADSK","Autodesk, Inc. Common Stock","NASDAQ","Unknown","Unknown",62754120000,296.010009765625,"LOW",0,true,"yahoo","None"
"AEP","American Electric Power Company, Inc. Common Stock","NASDAQ","Unknown","Unknown",61721476567,115.30999755859375,"LOW",0,true,"yahoo","None"
"COIN","Coinbase Global, Inc. Class A Common Stock","NASDAQ","Unknown","Unknown",60977252098,226.13999938964844,"LOW",0,true,"yahoo","None"
"ELVR","Elevra Lithium Limited American Depository Shares","NASDAQ","Unknown","Unknown",60683107125,52.56999969482422,"LOW",0,false,"yahoo","None"
"FTNT","Fortinet, Inc. Common Stock","NASDAQ","Unknown","Unknown",59053095780,79.41000366210938,"LOW",0,true,"yahoo","None"
"WDC","Western Digital Corporation Common Stock","NASDAQ","Unknown","Unknown",58898989138,172.27000427246094,"LOW",0,true,"yahoo","None"
"STX","Seagate Technology Holdings PLC Ordinary Shares (Ireland)","NASDAQ","Unknown","Unknown",58811768739,275.3900146484375,"LOW",0,true,"yahoo","None"
"TRI","Thomson Reuters Corporation Common Shares","NASDAQ","Unknown","Unknown",58670275610,131.88999938964844,"LOW",0,true,"yahoo","None"
"ROST","Ross Stores, Inc. Common Stock","NASDAQ","Unknown","Unknown",58265369330,180.13999938964844,"LOW",0,true,"yahoo","None"
"PCAR","PACCAR Inc. Common Stock","NASDAQ","Unknown","Unknown",57515129354,109.51000213623047,"LOW",0,true,"yahoo","None"
"WDAY","Workday, Inc. Class A Common Stock","NASDAQ","Unknown","Unknown",56487140000,214.77999877929688,"LOW",0,true,"yahoo","None"
"BRKRP","Bruker Corporation 6.375% Mandatory Convertible Preferred Stock, Series A","NASDAQ","Unknown","Unknown",55610458704,366,"LOW",0,false,"yahoo","None"
"NDAQ","Nasdaq, Inc. Common Stock","NASDAQ","Unknown","Unknown",55460786407,97.12999725341797,"LOW",1,true,"yahoo","OVERBOUGHT_RSI"
"MDLN","Medline Inc. Class A Common Stock","NASDAQ","Unknown","Unknown",55176123324,42,"LOW",0,true,"yahoo","None"
"NXPI","NXP Semiconductors N.V. Common Stock","NASDAQ","Unknown","Unknown",54628460675,217.05999755859375,"LOW",0,true,"yahoo","None"
"PYPL","PayPal Holdings, Inc. Common Stock","NASDAQ","Unknown","Unknown",54623361016,58.380001068115234,"LOW",0,true,"yahoo","None"
"IDXX","IDEXX Laboratories, Inc. Common Stock","NASDAQ","Unknown","Unknown",54021820285,676.530029296875,"LOW",0,true,"yahoo","None"
"ALNY","Alnylam Pharmaceuticals, Inc. Common Stock","NASDAQ","Unknown","Unknown",52535059728,397.6499938964844,"LOW",0,true,"yahoo","None"
"ARGX","argenx SE American Depositary Shares","NASDAQ","Unknown","Unknown",51290261194,840.9500122070312,"LOW",0,true,"yahoo","None"
"EA","Electronic Arts Inc. Common Stock","NASDAQ","Unknown","Unknown",50960834153,204.3300018310547,"LOW",0,true,"yahoo","None"
"ROP","Roper Technologies, Inc. Common Stock","NASDAQ","Unknown","Unknown",47912649216,445.1300048828125,"LOW",0,true,"yahoo","None"
"DDOG","Datadog, Inc. Class A Common Stock","NASDAQ","Unknown","Unknown",47687715157,135.99000549316406,"LOW",0,true,"yahoo","None"
"TTWO","Take-Two Interactive Software, Inc. Common Stock","NASDAQ","Unknown","Unknown",47308924357,256.0299987792969,"LOW",0,true,"yahoo","None"
"TCOM","Trip.com Group Limited American Depositary Shares","NASDAQ","Unknown","Unknown",46976697259,71.91000366210938,"LOW",0,true,"yahoo","None"
"FER","Ferrovial SE Ordinary Shares","NASDAQ","Unknown","Unknown",46531223404,64.61000061035156,"LOW",0,true,"yahoo","None"
"FAST","Fastenal Company Common Stock","NASDAQ","Unknown","Unknown",46070673484,40.130001068115234,"LOW",0,true,"yahoo","None"
"BKR","Baker Hughes Company Class A Common Stock","NASDAQ","Unknown","Unknown",44937682586,45.540000915527344,"LOW",0,true,"yahoo","None"
"BIDU","Baidu, Inc. ADS","NASDAQ","Unknown","Unknown",44917105271,130.66000366210938,"LOW",0,true,"yahoo","None"
"AXON","Axon Enterprise, Inc. Common Stock","NASDAQ","Unknown","Unknown",44815620955,567.9299926757812,"LOW",0,true,"yahoo","None"
"EXC","Exelon Corporation Common Stock","NASDAQ","Unknown","Unknown",44038554874,43.59000015258789,"LOW",0,true,"yahoo","None"
"XEL","Xcel Energy Inc. Common Stock","NASDAQ","Unknown","Unknown",43691127634,73.86000061035156,"LOW",0,true,"yahoo","None"
"MSTR","Strategy Inc Common Stock Class A","NASDAQ","Unknown","Unknown",43663400033,151.9499969482422,"LOW",0,true,"yahoo","None"
"MPWR","Monolithic Power Systems, Inc. Common Stock","NASDAQ","Unknown","Unknown",43420988520,906.3599853515625,"LOW",0,true,"yahoo","None"
"FANG","Diamondback Energy, Inc. Common Stock","NASDAQ","Unknown","Unknown",43073395553,150.3300018310547,"LOW",0,true,"yahoo","None"
"TEAM","Atlassian Corporation Class A Common Stock","NASDAQ","Unknown","Unknown",42660833430,162.13999938964844,"LOW",0,true,"yahoo","None"
"JD","JD.com, Inc. American Depositary Shares","NASDAQ","Unknown","Unknown",41709551375,28.700000762939453,"LOW",0,true,"yahoo","None"
"CCEP","Coca-Cola Europacific Partners plc Ordinary Shares","NASDAQ","Unknown","Unknown",41176206673,90.69999694824219,"LOW",0,true,"yahoo","None"
"PAYX","Paychex, Inc. Common Stock","NASDAQ","Unknown","Unknown",40268968541,112.18000030517578,"LOW",0,true,"yahoo","None"
"CTSH","Cognizant Technology Solutions Corporation Class A Common Stock","NASDAQ","Unknown","Unknown",40059657259,83,"LOW",0,true,"yahoo","None"
"HBANL","Huntington Bancshares Incorporated Depositary Shares, Each Representing a 1/40th Interest in a Share of 6.875% Series J Non-Cumulative Perpetual Preferred Stock","NASDAQ","Unknown","Unknown",39984252029,25.389999389648438,"LOW",0,false,"yahoo","None"
"EBAY","eBay Inc. Common Stock","NASDAQ","Unknown","Unknown",39369200000,87.0999984741211,"LOW",0,true,"yahoo","None"
"KDP","Keurig Dr Pepper Inc. Common Stock","NASDAQ","Unknown","Unknown",38053913331,28.010000228881836,"LOW",0,true,"yahoo","None"
"RYAAY","Ryanair Holdings plc American Depositary Shares","NASDAQ","Unknown","Unknown",37988817228,72.19000244140625,"LOW",1,true,"yahoo","OVERBOUGHT_RSI"
"CPRT","Copart, Inc. (DE) Common Stock","NASDAQ","Unknown","Unknown",37897892329,39.150001525878906,"LOW",0,true,"yahoo","None"
"GEHC","GE HealthCare Technologies Inc. Common Stock","NASDAQ","Unknown","Unknown",37361880976,82.0199966430664,"LOW",0,true,"yahoo","None"
"RKLB","Rocket Lab Corporation Common Stock","NASDAQ","Unknown","Unknown",37262745790,69.76000213623047,"LOW",1,true,"yahoo","HIGH_VOLATILITY"
"INSM","Insmed Incorporated Common Stock","NASDAQ","Unknown","Unknown",37118114545,174.0399932861328,"LOW",0,true,"yahoo","None"
"UAL","United Airlines Holdings, Inc. Common Stock","NASDAQ","Unknown","Unknown",36200381930,111.81999969482422,"LOW",0,true,"yahoo","None"
"FISV","Fiserv, Inc. Common Stock","NASDAQ","Unknown","Unknown",36127511250,67.16999816894531,"LOW",0,true,"yahoo","None"
"ZS","Zscaler, Inc. Common Stock","NASDAQ","Unknown","Unknown",35868264103,224.9199981689453,"LOW",0,true,"yahoo","None"
"CRWV","CoreWeave, Inc. Class A Common Stock","NASDAQ","Unknown","Unknown",35684517034,71.61000061035156,"LOW",1,true,"yahoo","HIGH_VOLATILITY"
"SYM","Symbotic Inc. Class A Common Stock","NASDAQ","Unknown","Unknown",35599775106,59.5,"LOW",0,true,"yahoo","None"
"SNDK","Sandisk Corporation Common Stock","NASDAQ","Unknown","Unknown",34788793631,237.3800048828125,"LOW",1,true,"yahoo","HIGH_VOLATILITY"
"ACGL","Arch Capital Group Ltd. Common Stock","NASDAQ","Unknown","Unknown",34783079973,95.91999816894531,"LOW",1,true,"yahoo","OVERBOUGHT_RSI"
"HBANM","Huntington Bancshares Incorporated Depositary Shares each representing a 1/1000th interest in a share of Huntington Series I Preferred Stock","NASDAQ","Unknown","Unknown",34771653596,22.079999923706055,"LOW",0,false,"yahoo","None"
"EXPE","Expedia Group, Inc. Common Stock","NASDAQ","Unknown","Unknown",34714686825,283.30999755859375,"LOW",0,true,"yahoo","None"
"MCHP","Microchip Technology Incorporated Common Stock","NASDAQ","Unknown","Unknown",34437272262,63.720001220703125,"LOW",0,true,"yahoo","None"
"MDB","MongoDB, Inc. Class A Common Stock","NASDAQ","Unknown","Unknown",34159307754,419.69000244140625,"LOW",0,true,"yahoo","None"
"ONC","BeOne Medicines Ltd. American Depositary Shares","NASDAQ","Unknown","Unknown",33618989663,303.80999755859375,"LOW",0,true,"yahoo","None"
"KMB","Kimberly-Clark Corporation Common Stock","NASDAQ","Unknown","Unknown",33484696473,100.88999938964844,"LOW",0,true,"yahoo","None"
"SOFI","SoFi Technologies, Inc. Common Stock","NASDAQ","Unknown","Unknown",32963633554,26.18000030517578,"LOW",0,true,"yahoo","None"
"ODFL","Old Dominion Freight Line, Inc. Common Stock","NASDAQ","Unknown","Unknown",32786635235,156.8000030517578,"LOW",0,true,"yahoo","None"
"FOXA","Fox Corporation Class A Common Stock","NASDAQ","Unknown","Unknown",32438894623,73.06999969482422,"LOW",0,true,"yahoo","None"
"ERIC","Ericsson American Depositary Shares","NASDAQ","Unknown","Unknown",32310629243,9.649999618530273,"LOW",0,true,"yahoo","None"
"NTRA","Natera, Inc. Common Stock","NASDAQ","Unknown","Unknown",31617733787,229.08999633789062,"LOW",0,true,"yahoo","None"
"MCHPP","Microchip Technology Incorporated Depositary Shares Each Representing a 1/20th Interest in a Share of 7.50% Series A Mandatory Convertible Preferred Stock","NASDAQ","Unknown","Unknown",31497241486,58.279998779296875,"LOW",0,false,"yahoo","None"
"WTW","Willis Towers Watson Public Limited Company Ordinary Shares","NASDAQ","Unknown","Unknown",31462994232,328.6000061035156,"LOW",1,true,"yahoo","OVERBOUGHT_RSI"
"VOD","Vodafone Group Plc American Depositary Shares","NASDAQ","Unknown","Unknown",31385650070,13.210000038146973,"MEDIUM",2,true,"yahoo","OVERBOUGHT_RSI"
"SATS","EchoStar  Corporation Common Stock","NASDAQ","Unknown","Unknown",31292155441,108.69999694824219,"LOW",0,true,"yahoo","None"
"VRSK","Verisk Analytics, Inc. Common Stock","NASDAQ","Unknown","Unknown",31176250183,223.69000244140625,"LOW",1,true,"yahoo","OVERBOUGHT_RSI"
"FITB","Fifth Third Bancorp Common Stock","NASDAQ","Unknown","Unknown",30941960907,46.810001373291016,"LOW",0,true,"yahoo","None"
"TER","Teradyne, Inc. Common Stock","NASDAQ","Unknown","Unknown",30313103129,193.55999755859375,"LOW",0,true,"yahoo","None"
"STRF","Strategy Inc 10.00% Series A Perpetual Strife Preferred Stock","NASDAQ","Unknown","Unknown",29037094922,101.05000305175781,"LOW",0,true,"yahoo","None"
"FOX","Fox Corporation Class B Common Stock","NASDAQ","Unknown","Unknown",28825200875,64.93000030517578,"LOW",0,true,"yahoo","None"
"KHC","The Kraft Heinz Company Common Stock","NASDAQ","Unknown","Unknown",28703647791,24.25,"LOW",0,true,"yahoo","None"
"IBKR","Interactive Brokers Group, Inc. Class A Common Stock","NASDAQ","Unknown","Unknown",28641366364,64.30999755859375,"LOW",0,true,"yahoo","None"
"LPLA","LPL Financial Holdings Inc. Common Stock","NASDAQ","Unknown","Unknown",28587037450,357.1700134277344,"LOW",0,true,"yahoo","None"
"CSGP","CoStar Group, Inc. Common Stock","NASDAQ","Unknown","Unknown",28497844467,67.23999786376953,"LOW",0,true,"yahoo","None"
"STRC","Strategy Inc Variable Rate Series A Perpetual Stretch Preferred Stock","NASDAQ","Unknown","Unknown",28389112249,98.79499816894531,"LOW",0,true,"yahoo","None"
"ALAB","Astera Labs, Inc. Common Stock","NASDAQ","Unknown","Unknown",28098805558,166.36000061035156,"LOW",1,true,"yahoo","HIGH_VOLATILITY"
"FSLR","First Solar, Inc. Common Stock","NASDAQ","Unknown","Unknown",28032105673,261.2300109863281,"LOW",0,true,"yahoo","None"
"HBAN","Huntington Bancshares Incorporated Common Stock","NASDAQ","Unknown","Unknown",27322834687,17.350000381469727,"LOW",0,true,"yahoo","None"
"AGNCN","AGNC Investment Corp. Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock","NASDAQ","Unknown","Unknown",27097010008,25.260000228881836,"LOW",0,false,"yahoo","None"
"AGNCZ","AGNC Investment Corp. Depositary Shares Each Representing a 1/1,000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock","NASDAQ","Unknown","Unknown",27075555527,25.239999771118164,"LOW",0,false,"yahoo","None"
"CHTR","Charter Communications, Inc. Class A Common Stock New","NASDAQ","Unknown","Unknown",27014205361,208.75,"LOW",0,true,"yahoo","None"
"HBANP","Huntington Bancshares Incorporated Depositary Shares 4.500% Series H Non-Cumulative Perpetual Preferred Stock","NASDAQ","Unknown","Unknown",26913385868,17.09000015258789,"LOW",0,false,"yahoo","None"
"ULTA","Ulta Beauty, Inc. Common Stock","NASDAQ","Unknown","Unknown",26839557682,605.010009765625,"LOW",0,true,"yahoo","None"
"AGNCO","AGNC Investment Corp. Depositary Shares, each representing a 1/1,000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock","NASDAQ","Unknown","Unknown",26828828991,25.010000228881836,"LOW",0,false,"yahoo","None"
"FCNCA","First Citizens BancShares, Inc. Class A Common Stock","NASDAQ","Unknown","Unknown",26688932991,2146.179931640625,"LOW",0,true,"yahoo","None"
"ASTS","AST SpaceMobile, Inc. Class A Common Stock","NASDAQ","Unknown","Unknown",26656613938,72.62999725341797,"LOW",1,true,"yahoo","HIGH_VOLATILITY"
"AGNCL","AGNC Investment Corp. Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock","NASDAQ","Unknown","Unknown",26549920733,24.75,"LOW",0,false,"yahoo","None"
"TSCO","Tractor Supply Company Common Stock","NASDAQ","Unknown","Unknown",26425463786,50.0099983215332,"LOW",0,true,"yahoo","None"
"AGNCP","AGNC Investment Corp. Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock","NASDAQ","Unknown","Unknown",26324648678,24.540000915527344,"LOW",0,false,"yahoo","None"
"AGNCM","AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock","NASDAQ","Unknown","Unknown",26292466956,24.510000228881836,"LOW",0,false,"yahoo","None"
"EXE","Expand Energy Corporation Common Stock","NASDAQ","Unknown","Unknown",26284407761,110.36000061035156,"LOW",0,true,"yahoo","None"
"LITE","Lumentum Holdings Inc. Common Stock","NASDAQ","Unknown","Unknown",26133031000,368.5899963378906,"LOW",1,true,"yahoo","HIGH_VOLATILITY"
"CRDO","Credo Technology Group Holding Ltd Ordinary Shares","NASDAQ","Unknown","Unknown",25991098047,143.88999938964844,"LOW",0,true,"yahoo","None"
"DXCM","DexCom, Inc. Common Stock","NASDAQ","Unknown","Unknown",25885379973,66.37000274658203,"LOW",0,true,"yahoo","None"
"NTRS","Northern Trust Corporation Common Stock","NASDAQ","Unknown","Unknown",25831541432,136.58999633789062,"LOW",0,true,"yahoo","None"
"BIIB","Biogen Inc. Common Stock","NASDAQ","Unknown","Unknown",25818132849,175.99000549316406,"LOW",0,true,"yahoo","None"
"ESLT","Elbit Systems Ltd. Ordinary Shares","NASDAQ","Unknown","Unknown",25769771897,577.7100219726562,"MEDIUM",2,true,"yahoo","OVERBOUGHT_RSI"
"ZM","Zoom Communications, Inc. Class A Common Stock","NASDAQ","Unknown","Unknown",25550552615,86.29000091552734,"LOW",0,true,"yahoo","None"
"CINF","Cincinnati Financial Corporation Common Stock","NASDAQ","Unknown","Unknown",25480943543,163.32000732421875,"LOW",0,true,"yahoo","None"
"TW","Tradeweb Markets Inc. Class A Common Stock","NASDAQ","Unknown","Unknown",25430885738,107.54000091552734,"LOW",0,true,"yahoo","None"
"STLD","Steel Dynamics, Inc.","NASDAQ","Unknown","Unknown",24745606858,169.4499969482422,"LOW",0,true,"yahoo","None"
"FWONK","Liberty Media Corporation Series C Liberty Formula One Common Stock","NASDAQ","Unknown","Unknown",24632842887,98.51000213623047,"MEDIUM",2,true,"yahoo","OVERBOUGHT_RSI"
"AFRM","Affirm Holdings, Inc. Class A Common Stock","NASDAQ","Unknown","Unknown",24567380876,74.43000030517578,"LOW",0,true,"yahoo","None"
"DLTR","Dollar Tree Inc. Common Stock","NASDAQ","Unknown","Unknown",24460930533,123.01000213623047,"LOW",0,true,"yahoo","None"
"RIVN","Rivian Automotive, Inc. Class A Common Stock","NASDAQ","Unknown","Unknown",24162747497,19.709999084472656,"LOW",1,true,"yahoo","HIGH_VOLATILITY"
"TPG","TPG Inc. Class A Common Stock","NASDAQ","Unknown","Unknown",24136009740,63.84000015258789,"LOW",0,true,"yahoo","None"
"EXEEL","Expand Energy Corporation Class C Warrants","NASDAQ","Unknown","Unknown",23733610306,99.6500015258789,"LOW",0,false,"yahoo","None"
"LULU","lululemon athletica inc. Common Stock","NASDAQ","Unknown","Unknown",23314212420,207.80999755859375,"LOW",1,true,"yahoo","OVERBOUGHT_RSI"
"FUTU","Futu Holdings Limited American Depositary Shares","NASDAQ","Unknown","Unknown",22862548268,164.2100067138672,"LOW",0,true,"yahoo","None"
"BNTX","BioNTech SE American Depositary Share","NASDAQ","Unknown","Unknown",22845220541,95.19999694824219,"LOW",0,true,"yahoo","None"
"BTSGU","BrightSpring Health Services, Inc. Tangible Equity Unit","NASDAQ","Unknown","Unknown",22762263404,126.20999908447266,"LOW",0,false,"yahoo","None"
"STRK","Strategy Inc 8.00% Series A Perpetual Strike Preferred Stock","NASDAQ","Unknown","Unknown",22631980169,78.76000213623047,"LOW",0,true,"yahoo","None"
