Symbol,Name,Exchange,Sector,MarketCap,LastPrice,TotalScore,Signals
"SIDU","Sidus Space, Inc. Class A Common Stock","NASDAQ","Unknown",204973809,3.140000104904175,12,"MICROCAP_PRICE, SMALL_MARKET_CAP, SPIKE_7D, VOLUME_EXPLOSION, OVERBOUGHT_RSI, HIGH_VOLATILITY"
"BGIN","Bgin Blockchain Limited Class A Ordinary Shares","NASDAQ","Unknown",204502250,2.509999990463257,7,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY, HIGH_VOLATILITY"
"TRVG","trivago N.V. American Depositary Shares","NASDAQ","Unknown",203891185,2.9000000953674316,6,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY"
"SDA","SunCar Technology Group Inc. Class A Ordinary Shares","NASDAQ","Unknown",198980217,2.0199999809265137,6,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY"
"ANNA","AleAnna, Inc. Class A Common Stock","NASDAQ","Unknown",191691047,2.875999927520752,6,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY"
"RDZN","Roadzen, Inc. Ordinary Shares","NASDAQ","Unknown",190860114,2.4100000858306885,9,"MICROCAP_PRICE, SMALL_MARKET_CAP, SPIKE_7D, OVERBOUGHT_RSI, HIGH_VOLATILITY"
"NXXT","NextNRG, Inc. Common Stock","NASDAQ","Unknown",190054867,1.4500000476837158,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"CRDF","Cardiff Oncology, Inc. Common Stock","NASDAQ","Unknown",189283185,2.809999942779541,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"KRKR","36Kr Holdings Inc. American Depositary Shares","NASDAQ","Unknown",187617509,4.760000228881836,6,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY"
"OMSE","OMS Energy Technologies Inc. Ordinary Shares","NASDAQ","Unknown",186774298,4.400000095367432,6,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY"
"DVLT","Datavault AI Inc. Common Stock","NASDAQ","Unknown",185990102,0.6499999761581421,8,"MICROCAP_PRICE, SMALL_MARKET_CAP, SPIKE_7D, HIGH_VOLATILITY"
"SXTC","China SXT Pharmaceuticals, Inc. Ordinary Shares","NASDAQ","Unknown",185644413,1.600000023841858,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"PRLD","Prelude Therapeutics Incorporated Common Stock","NASDAQ","Unknown",182309283,2.9000000953674316,10,"MICROCAP_PRICE, SMALL_MARKET_CAP, SPIKE_7D, OVERBOUGHT_RSI, HIGH_VOLATILITY"
"YMT","Yimutian Inc. American Depositary Shares","NASDAQ","Unknown",180715772,1.5800000429153442,7,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY, HIGH_VOLATILITY"
"AMCI","AMC Robotics Corporation Common Stock","NASDAQ","Unknown",178729487,7.909999847412109,6,"SMALL_MARKET_CAP, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"MOLN","Molecular Partners AG American Depositary Shares","NASDAQ","Unknown",175926586,4.359000205993652,6,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY"
"BRLT","Brilliant Earth Group, Inc. Class A Common Stock","NASDAQ","Unknown",175196929,1.75,6,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY"
"SND","Smart Sand, Inc. Common Stock","NASDAQ","Unknown",174175168,4,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"MIST","Milestone Pharmaceuticals Inc. Common Shares","NASDAQ","Unknown",172042075,2.0199999809265137,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"ALEC","Alector, Inc. Common Stock","NASDAQ","Unknown",170276296,1.559999942779541,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, OVERBOUGHT_RSI"
"INVZ","Innoviz Technologies Ltd. Ordinary shares","NASDAQ","Unknown",169734446,0.8529999852180481,7,"MICROCAP_PRICE, SMALL_MARKET_CAP, SPIKE_7D"
"ESGL","ESGL Holdings Limited Ordinary Shares","NASDAQ","Unknown",167264960,4,6,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY"
"MAMO","Massimo Group Common Stock","NASDAQ","Unknown",165730981,3.9800000190734863,8,"MICROCAP_PRICE, SMALL_MARKET_CAP, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"LFMD","LifeMD, Inc. Common Stock","NASDAQ","Unknown",164143368,3.4100000858306885,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"AMBR","Amber International Holding Limited American Depositary Shares","NASDAQ","Unknown",162071460,1.7300000190734863,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"IPHA","Innate Pharma S.A. ADS","NASDAQ","Unknown",161275009,1.75,6,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY"
"ISPR","Ispire Technology Inc. Common Stock","NASDAQ","Unknown",160411619,2.799999952316284,6,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY"
"GANX","Gain Therapeutics, Inc. Common Stock","NASDAQ","Unknown",160284139,3.2200000286102295,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"DGXX","Digi Power X Inc. Subordinate Voting Shares","NASDAQ","Unknown",159169911,2.549999952316284,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"KLRS","Kalaris Therapeutics, Inc. Common Stock","NASDAQ","Unknown",157848408,8.4399995803833,6,"SMALL_MARKET_CAP, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"HPAI","Helport AI Limited Ordinary Shares","NASDAQ","Unknown",157210066,4.199999809265137,6,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY"
"CMTL","Comtech Telecommunications Corp. Common Stock","NASDAQ","Unknown",156739394,5.289999961853027,8,"SMALL_MARKET_CAP, SPIKE_7D, OVERBOUGHT_RSI, HIGH_VOLATILITY"
"NUAI","New Era Energy & Digital, Inc. Common Stock","NASDAQ","Unknown",156606071,2.930000066757202,8,"MICROCAP_PRICE, SMALL_MARKET_CAP, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"QIPT","Quipt Home Medical Corp. Common Shares","NASDAQ","Unknown",155416976,3.5299999713897705,7,"MICROCAP_PRICE, SMALL_MARKET_CAP, OVERBOUGHT_RSI, HIGH_VOLATILITY"
"SLMT","Brera Holdings PLC Class B Ordinary Shares","NASDAQ","Unknown",153330211,1.8700000047683716,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"RILYL","B. Riley Financial, Inc. Depositary Shares each representing 1/1000th in a share of 7.375% Series B Cumulative Perpetual Preferred Stock, par value $0.0001","NASDAQ","Unknown",153104659,5.004000186920166,6,"SMALL_MARKET_CAP, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"TNYA","Tenaya Therapeutics, Inc. Common Stock","NASDAQ","Unknown",152079237,0.7120000123977661,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"ATLX","Atlas Lithium Corporation Common Stock","NASDAQ","Unknown",150347292,4.230000019073486,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"HQI","HireQuest, Inc. Common Stock (DE)","NASDAQ","Unknown",148191000,10.510000228881836,7,"SMALL_MARKET_CAP, SPIKE_7D, OVERBOUGHT_RSI"
"SCAG","Scage Future American Depositary Shares","NASDAQ","Unknown",148123717,2.0399999618530273,10,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"AHMA","Ambitions Enterprise Management Co. L.L.C Class A Ordinary Shares","NASDAQ","Unknown",145730000,4.940000057220459,11,"MICROCAP_PRICE, SMALL_MARKET_CAP, SPIKE_7D, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"ALPS","ALPS Group Inc Ordinary Share","NASDAQ","Unknown",144668443,0.8690000176429749,6,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY"
"RILYP","B. Riley Financial, Inc. Depositary Shares, each representing a 1/1000th fractional interest in a share of Series A Cumulative Perpetual Preferred Stock","NASDAQ","Unknown",144329420,4.7170000076293945,10,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"RILY","B. Riley Financial, Inc. Common Stock","NASDAQ","Unknown",142888298,4.670000076293945,8,"MICROCAP_PRICE, SMALL_MARKET_CAP, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"SIEB","Siebert Financial Corp. Common Stock","NASDAQ","Unknown",141898545,3.509999990463257,6,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY"
"EHTH","eHealth, Inc. Common Stock","NASDAQ","Unknown",141518011,4.599999904632568,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"AVX","Avax One Technology Ltd. Common Shares","NASDAQ","Unknown",140599343,1.5099999904632568,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"NIPG","NIP Group Inc. American Depositary Shares","NASDAQ","Unknown",139949615,0.996999979019165,6,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY"
"CURR","Currenc Group Inc. Ordinary Shares","NASDAQ","Unknown",136191568,1.7899999618530273,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"CNTX","Context Therapeutics Inc. Common Stock","NASDAQ","Unknown",135062390,1.4700000286102295,6,"MICROCAP_PRICE, SMALL_MARKET_CAP, OVERBOUGHT_RSI, HIGH_VOLATILITY"
"AEI","Alset Inc. Common Stock (TX)","NASDAQ","Unknown",133834077,3.440000057220459,10,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY, SPIKE_7D, HIGH_VOLATILITY"
"MAPS","WM Technology, Inc. Class A Common Stock","NASDAQ","Unknown",129719479,0.824999988079071,8,"MICROCAP_PRICE, SMALL_MARKET_CAP, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"DWTX","Dogwood Therapeutics, Inc. Common Stock","NASDAQ","Unknown",129205128,4.159999847412109,8,"MICROCAP_PRICE, SMALL_MARKET_CAP, SPIKE_7D, HIGH_VOLATILITY"
"CAAS","China Automotive Systems, Inc. Ordinary Share","NASDAQ","Unknown",128527191,4.260000228881836,6,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY"
"FLD","Fold Holdings, Inc. Class A Common Stock","NASDAQ","Unknown",128310354,2.609999895095825,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"FONR","Fonar Corporation Common Stock","NASDAQ","Unknown",128055871,18.559999465942383,5,"SMALL_MARKET_CAP, OVERBOUGHT_RSI, HIGH_VOLATILITY"
"LHAI","Linkhome Holdings Inc. Common stock","NASDAQ","Unknown",123997200,7.639999866485596,6,"SMALL_MARKET_CAP, SPIKE_7D, HIGH_VOLATILITY"
"IXHL","Incannex Healthcare Inc. Common Stock","NASDAQ","Unknown",123948732,0.3580000102519989,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"AIRS","AirSculpt Technologies, Inc. Common Stock","NASDAQ","Unknown",123624607,1.9800000190734863,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"EDAP","EDAP TMS S.A. American Depositary Shares","NASDAQ","Unknown",123019963,3.2899999618530273,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"SEV","Aptera Motors Corp. Class B Common Stock","NASDAQ","Unknown",122895317,4.289999961853027,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"ZJK","ZJK Industrial Co., Ltd. Ordinary Shares","NASDAQ","Unknown",122762498,2,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"MB","MasterBeef Group Ordinary Shares","NASDAQ","Unknown",121210000,7.130000114440918,7,"SMALL_MARKET_CAP, MICRO_LIQUIDITY, VOLUME_EXPLOSION, HIGH_VOLATILITY"
"HSDT","Solana Company Class A Common Stock (DE)","NASDAQ","Unknown",119361046,2.890000104904175,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"SVRN","OceanPal Inc. Common Stock","NASDAQ","Unknown",118271652,1.0800000429153442,6,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY"
"TTRX","Turn Therapeutics Inc. Common Stock","NASDAQ","Unknown",116014021,3.940000057220459,8,"MICROCAP_PRICE, SMALL_MARKET_CAP, SPIKE_7D, HIGH_VOLATILITY"
"FBIO","Fortress Biotech, Inc. Common Stock","NASDAQ","Unknown",115794849,3.6600000858306885,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, OVERBOUGHT_RSI"
"SLNH","Soluna Holdings, Inc. Common Stock","NASDAQ","Unknown",115332128,1.1699999570846558,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"SNT","Senstar Technologies Corporation Common Shares","NASDAQ","Unknown",112667734,4.829999923706055,6,"MICROCAP_PRICE, SMALL_MARKET_CAP, OVERBOUGHT_RSI"
"SLSN","Solesence, Inc. Common Stock","NASDAQ","Unknown",112506268,1.600000023841858,6,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY"
"RPTX","Repare Therapeutics Inc. Common Shares","NASDAQ","Unknown",112081741,2.5999999046325684,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, OVERBOUGHT_RSI"
"NPT","Texxon Holding Limited Ordinary shares","NASDAQ","Unknown",110037600,4.960000038146973,8,"MICROCAP_PRICE, SMALL_MARKET_CAP, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"GRAN","Grande Group Limited Class A Ordinary Shares","NASDAQ","Unknown",109655000,4.820000171661377,9,"MICROCAP_PRICE, SMALL_MARKET_CAP, SPIKE_7D, OVERBOUGHT_RSI, HIGH_VOLATILITY"
"BSBK","Bogota Financial Corp. Common Stock","NASDAQ","Unknown",109585490,8.449999809265137,5,"SMALL_MARKET_CAP, MICRO_LIQUIDITY, OVERBOUGHT_RSI"
"YOUL","Youlife Group Inc. American Depositary Shares","NASDAQ","Unknown",108825547,1.430999994277954,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"CTW","CTW Cayman Class A Ordinary Shares","NASDAQ","Unknown",107952000,1.7300000190734863,6,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY"
"BEEP","Mobile Infrastructure Corporation Common Stock","NASDAQ","Unknown",107865000,2.549999952316284,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"BUUU","BUUU Group Limited Class A Ordinary Share","NASDAQ","Unknown",107053500,6.420000076293945,5,"SMALL_MARKET_CAP, VOLUME_EXPLOSION, HIGH_VOLATILITY"
"UPXI","Upexi, Inc. Common Stock","NASDAQ","Unknown",106189579,1.6799999475479126,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"OPTX","Syntec Optics Holdings, Inc. Class A Common Stock","NASDAQ","Unknown",105591846,2.859999895095825,13,"MICROCAP_PRICE, SMALL_MARKET_CAP, SPIKE_7D, VOLUME_EXPLOSION, OVERBOUGHT_RSI, HIGH_VOLATILITY"
"ARTV","Artiva Biotherapeutics, Inc. Common Stock","NASDAQ","Unknown",105297638,4.289999961853027,8,"MICROCAP_PRICE, SMALL_MARKET_CAP, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"PYXS","Pyxis Oncology, Inc. Common Stock","NASDAQ","Unknown",104655191,1.149999976158142,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"SHIM","Shimmick Corporation Common Stock","NASDAQ","Unknown",104581199,2.9200000762939453,7,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY, HIGH_VOLATILITY"
"MGRT","Mega Fortune Company Limited Ordinary Shares","NASDAQ","Unknown",103262500,7.510000228881836,6,"SMALL_MARKET_CAP, SPIKE_THEN_DROP, HIGH_VOLATILITY"
"ANIX","Anixa Biosciences, Inc. Common Stock","NASDAQ","Unknown",102700775,3.119999885559082,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"MMLP","Martin Midstream Partners L.P. Limited Partnership","NASDAQ","Unknown",101933774,2.609999895095825,6,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY"
"MGNX","MacroGenics, Inc. Common Stock","NASDAQ","Unknown",101846237,1.6100000143051147,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"OTLK","Outlook Therapeutics, Inc. Common Stock","NASDAQ","Unknown",101300750,1.5800000429153442,5,"MICROCAP_PRICE, SMALL_MARKET_CAP, HIGH_VOLATILITY"
"ROMA","Roma Green Finance Limited Ordinary Shares","NASDAQ","Unknown",100664125,1.690000057220459,6,"MICROCAP_PRICE, SMALL_MARKET_CAP, MICRO_LIQUIDITY"
"NOMA","NOMADAR Corp. Class A Common Stock","NASDAQ","Unknown",97843505,4.480000019073486,8,"MICROCAP_PRICE, SMALL_MARKET_CAP, SPIKE_7D, HIGH_VOLATILITY"
