Symbol,Name,Exchange,Sector,MarketCap,LastPrice,TotalScore,DataSource,Signals
"OXLCN","Oxford Lane Capital Corp. 7.125% Series 2029 Term Preferred Stock","NASDAQ","Unknown",4218480000,24.299999237060547,2,"yahoo","MICRO_LIQUIDITY"
"OXLCL","Oxford Lane Capital Corp. 6.75% Notes due 2031","NASDAQ","Unknown",4181590000,24.08799934387207,2,"yahoo","MICRO_LIQUIDITY"
"REGCO","Regency Centers Corporation 5.875% Series B Cumulative Redeemable Preferred Stock","NASDAQ","Unknown",4128075073,22.56999969482422,2,"yahoo","MICRO_LIQUIDITY"
"PLBL","Polibeli Group Ltd Class A Ordinary Shares","NASDAQ","Unknown",4075037600,10.960000038146973,2,"yahoo","MICRO_LIQUIDITY"
"LBTYB","Liberty Global Ltd. Class B Common Shares","NASDAQ","Unknown",3979044358,11.819999694824219,2,"yahoo","MICRO_LIQUIDITY"
"DJT","Trump Media & Technology Group Corp. Common Stock","NASDAQ","Unknown",3707168701,13.239999771118164,4,"yahoo","SPIKE_THEN_DROP, HIGH_VOLATILITY"
"CENX","Century Aluminum Company Common Stock","NASDAQ","Unknown",3657138345,39.18000030517578,2,"yahoo","OVERBOUGHT_RSI"
"PLMR","Palomar Holdings, Inc. Common stock","NASDAQ","Unknown",3571368014,134.75999450683594,2,"yahoo","OVERBOUGHT_RSI"
"FLY","Firefly Aerospace Inc. Common Stock","NASDAQ","Unknown",3562447599,22.3700008392334,4,"yahoo","SPIKE_THEN_DROP, HIGH_VOLATILITY"
"LBRDP","Liberty Broadband Corporation Series A Cumulative Redeemable Preferred Stock","NASDAQ","Unknown",3449489575,24.040000915527344,2,"yahoo","MICRO_LIQUIDITY"
"FULTP","Fulton Financial Corporation Depositary Shares, Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series A","NASDAQ","Unknown",3387425241,18.829999923706055,2,"yahoo","MICRO_LIQUIDITY"
"ZIONP","Zions Bancorporation, N.A. Depositary Shares (Each representing 1/40th Interest in a Share of Series A Floating-Rate Non-Cumulative Perpetual Preferred Stock)","NASDAQ","Unknown",2929198115,19.84000015258789,2,"yahoo","MICRO_LIQUIDITY"
"POWWP","Outdoor Holding Company 8.75% Series A Cumulative Redeemable Perpetual Preferred Stock","NASDAQ","Unknown",2793093224,23.850000381469727,2,"yahoo","MICRO_LIQUIDITY"
"FTAIM","FTAI Aviation Ltd. 9.500% Fixed-Rate Reset Series D Cumulative Perpetual Redeemable Preferred Shares","NASDAQ","Unknown",2786906372,27.170000076293945,2,"yahoo","MICRO_LIQUIDITY"
"PLUG","Plug Power, Inc. Common Stock","NASDAQ","Unknown",2744000918,1.9700000286102295,2,"yahoo","MICROCAP_PRICE"
"NAMSW","NewAmsterdam Pharma Company N.V. Warrant","NASDAQ","Unknown",2607988492,23,3,"yahoo","MICRO_LIQUIDITY, HIGH_VOLATILITY"
"FTAIN","FTAI Aviation Ltd. 8.25% Fixed - Rate Reset Series C Cumulative Perpetual Redeemable Preferred Shares","NASDAQ","Unknown",2604326566,25.389999389648438,2,"yahoo","MICRO_LIQUIDITY"
"FORTY","Formula Systems (1985) Ltd. American Depositary Shares","NASDAQ","Unknown",2558356742,167.02000427246094,2,"yahoo","MICRO_LIQUIDITY"
"AAPG","Ascentage Pharma Group International American Depository Shares","NASDAQ","Unknown",2284628765,26.239999771118164,2,"yahoo","MICRO_LIQUIDITY"
"RARE","Ultragenyx Pharmaceutical Inc. Common Stock","NASDAQ","Unknown",2218984087,23,4,"yahoo","SPIKE_7D, HIGH_VOLATILITY"
"RXRX","Recursion Pharmaceuticals, Inc. Class A Common Stock","NASDAQ","Unknown",2126135723,4.090000152587891,2,"yahoo","MICROCAP_PRICE"
"MQ","Marqeta, Inc. Class A Common Stock","NASDAQ","Unknown",2090471423,4.75,2,"yahoo","MICROCAP_PRICE"
"ADAML","Adamas Trust, Inc. 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share","NASDAQ","Unknown",2021088027,22.3799991607666,2,"yahoo","MICRO_LIQUIDITY"
"DJTWW","Trump Media & Technology Group Corp. Warrants","NASDAQ","Unknown",1962755429,20.610000610351562,2,"yahoo","MICRO_LIQUIDITY"
"IBRX","ImmunityBio, Inc. Common Stock","NASDAQ","Unknown",1950231054,1.9800000190734863,2,"yahoo","MICROCAP_PRICE"
"IQ","iQIYI, Inc. American Depositary Shares","NASDAQ","Unknown",1848880988,1.9199999570846558,2,"yahoo","MICROCAP_PRICE"
"PCTTU","PureCycle Technologies, Inc. Unit","NASDAQ","Unknown",1753329848,9.729999542236328,2,"yahoo","MICRO_LIQUIDITY"
"ADAMZ","Adamas Trust, Inc. 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share","NASDAQ","Unknown",1744746232,19.31999969482422,2,"yahoo","MICRO_LIQUIDITY"
"MAAS","Maase Inc. Class A Ordinary Shares","NASDAQ","Unknown",1726995730,5.400000095367432,2,"yahoo","OVERBOUGHT_RSI, HIGH_VOLATILITY"
"JBLU","JetBlue Airways Corporation Common Stock","NASDAQ","Unknown",1654883776,4.550000190734863,2,"yahoo","MICROCAP_PRICE"
"ABTC","American Bitcoin Corp. Class A Common Stock","NASDAQ","Unknown",1576928490,1.7000000476837158,3,"yahoo","MICROCAP_PRICE, HIGH_VOLATILITY"
"NWL","Newell Brands Inc. Common Stock","NASDAQ","Unknown",1559424000,3.7200000286102295,2,"yahoo","MICROCAP_PRICE"
"OXSQG","Oxford Square Capital Corp. 5.50% Notes due 2028","NASDAQ","Unknown",1540071108,24.155000686645508,2,"yahoo","MICRO_LIQUIDITY"
"FRMEP","First Merchants Corporation Depository Shares","NASDAQ","Unknown",1488994265,25.75,2,"yahoo","MICRO_LIQUIDITY"
"ATAI","Atai Beckley N.V Common Shares","NASDAQ","Unknown",1485547722,4.090000152587891,2,"yahoo","MICROCAP_PRICE"
"PLTK","Playtika Holding Corp. Common Stock","NASDAQ","Unknown",1485420517,3.950000047683716,2,"yahoo","MICROCAP_PRICE"
"PGEN","Precigen, Inc. Common Stock","NASDAQ","Unknown",1478986406,4.179999828338623,2,"yahoo","MICROCAP_PRICE"
"SOUNW","SoundHound AI, Inc. Warrant","NASDAQ","Unknown",1461891587,3.4799,2,"mock","MICROCAP_PRICE"
"BITF","Bitfarms Ltd. Common Stock","NASDAQ","Unknown",1405120192,2.3499999046325684,3,"yahoo","MICROCAP_PRICE, HIGH_VOLATILITY"
"AFYA","Afya Limited Class A Common Shares","NASDAQ","Unknown",1392891670,15.40999984741211,2,"yahoo","OVERBOUGHT_RSI"
"TBLA","Taboola.com Ltd. Ordinary Shares","NASDAQ","Unknown",1328709717,4.610000133514404,3,"yahoo","MICROCAP_PRICE, OVERBOUGHT_RSI"
"BULLW","Webull Corporation Warrants","NASDAQ","Unknown",1322057808,2.865000009536743,4,"yahoo","MICROCAP_PRICE, MICRO_LIQUIDITY"
"STGW","Stagwell Inc. Class A Common Stock","NASDAQ","Unknown",1232858218,4.889999866485596,2,"yahoo","MICROCAP_PRICE"
"CNOBP","ConnectOne Bancorp, Inc. Depositary Shares, each representing a 1/40th interest in a share of 5.25% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series A","NASDAQ","Unknown",1231187950,24.489999771118164,2,"yahoo","MICRO_LIQUIDITY"
"PSEC","Prospect Capital Corporation Common Stock","NASDAQ","Unknown",1219659464,2.5899999141693115,2,"yahoo","MICROCAP_PRICE"
"CLOV","Clover Health Investments, Corp. Class A Common Stock","NASDAQ","Unknown",1214193429,2.3499999046325684,2,"yahoo","MICROCAP_PRICE"
"NNE","Nano Nuclear Energy Inc. Common Stock","NASDAQ","Unknown",1211887799,24.010000228881836,4,"yahoo","SPIKE_7D, HIGH_VOLATILITY"
"GRABW","Grab Holdings Limited Warrant","NASDAQ","Unknown",1197796592,0.2939999997615814,4,"yahoo","MICROCAP_PRICE, MICRO_LIQUIDITY"
"IMPPP","Imperial Petroleum Inc. 8.75% Series A Cumulative Redeemable Perpetual Preferred Shares","NASDAQ","Unknown",1189009675,25.989999771118164,2,"yahoo","MICRO_LIQUIDITY"
"DHC","Diversified Healthcare Trust Common Shares of Beneficial Interest","NASDAQ","Unknown",1174412766,4.849999904632568,2,"yahoo","MICROCAP_PRICE"
"GEMI","Gemini Space Station, Inc. Class A Common Stock","NASDAQ","Unknown",1167124883,9.920000076293945,4,"yahoo","SPIKE_THEN_DROP, HIGH_VOLATILITY"
"SANA","Sana Biotechnology, Inc. Common Stock","NASDAQ","Unknown",1084110108,4.070000171661377,2,"yahoo","MICROCAP_PRICE"
"IOVA","Iovance Biotherapeutics, Inc. Common Stock","NASDAQ","Unknown",1083722558,2.7300000190734863,3,"yahoo","MICROCAP_PRICE, OVERBOUGHT_RSI"
"ULCC","Frontier Group Holdings, Inc. Common Stock","NASDAQ","Unknown",1078358805,4.710000038146973,2,"yahoo","MICROCAP_PRICE"
"LFMDP","LifeMD, Inc. 8.875% Series A Cumulative Perpetual Preferred Stock","NASDAQ","Unknown",1060876397,22.038999557495117,2,"yahoo","MICRO_LIQUIDITY"
"ERAS","Erasca, Inc. Common Stock","NASDAQ","Unknown",1055407915,3.7200000286102295,2,"yahoo","MICROCAP_PRICE"
"TLRY","Tilray Brands, Inc. Common Stock","NASDAQ","Unknown",1048815591,9.029999732971191,4,"yahoo","SPIKE_THEN_DROP, HIGH_VOLATILITY"
"CRCT","Cricut, Inc. Class A Common Stock","NASDAQ","Unknown",1048138314,4.949999809265137,2,"yahoo","MICROCAP_PRICE"
"HDL","SUPER HI INTERNATIONAL HOLDING LTD. American Depositary Shares","NASDAQ","Unknown",1044380194,16.059999465942383,2,"yahoo","MICRO_LIQUIDITY"
"DCOMG","Dime Community Bancshares, Inc. 9.000% Fixed-to-Floating Rate Subordinated Notes due 2034","NASDAQ","Unknown",1024128344,26.15999984741211,2,"yahoo","MICRO_LIQUIDITY"
"CVAC","CureVac N.V. Ordinary Shares","NASDAQ","Unknown",1014008922,4.519999980926514,2,"yahoo","MICROCAP_PRICE"
"ABCL","AbCellera Biologics Inc. Common Shares","NASDAQ","Unknown",1007756119,3.4200000762939453,2,"yahoo","MICROCAP_PRICE"
"CRON","Cronos Group Inc. Common Share","NASDAQ","Unknown",1007009292,2.630000114440918,2,"yahoo","MICROCAP_PRICE"
"GOODO","Gladstone Commercial Corporation 6.00% Series G Cumulative Redeemable Preferred Stock, par value $0.001 per share","NASDAQ","Unknown",1002871932,20.719999313354492,2,"yahoo","MICRO_LIQUIDITY"
"THH","TryHard Holdings Limited Ordinary Shares","NASDAQ","Unknown",988700388,18.43000030517578,4,"yahoo","SPIKE_THEN_DROP, HIGH_VOLATILITY"
"OPK","OPKO Health, Inc. Common Stock","NASDAQ","Unknown",967303613,1.2599999904632568,2,"yahoo","MICROCAP_PRICE"
"GAINN","Gladstone Investment Corporation 5.00% Notes Due 2026","NASDAQ","Unknown",961213635,25.149999618530273,2,"yahoo","MICRO_LIQUIDITY"
"LOT","Lotus Technology Inc. American Depositary Shares","NASDAQ","Unknown",956324517,1.409999966621399,4,"yahoo","MICROCAP_PRICE, MICRO_LIQUIDITY"
"RZLV","Rezolve AI PLC Ordinary Shares","NASDAQ","Unknown",955631714,2.569999933242798,3,"yahoo","MICROCAP_PRICE, HIGH_VOLATILITY"
"ABUS","Arbutus Biopharma Corporation Common Stock","NASDAQ","Unknown",925078522,4.809999942779541,2,"yahoo","MICROCAP_PRICE"
"GDRX","GoodRx Holdings, Inc. Class A Common Stock","NASDAQ","Unknown",919863481,2.7100000381469727,2,"yahoo","MICROCAP_PRICE"
"MVST","Microvast Holdings, Inc. Common Stock","NASDAQ","Unknown",918911935,2.799999952316284,2,"yahoo","MICROCAP_PRICE"
"RWAYZ","Runway Growth Finance Corp. 8.00% Notes due 2027","NASDAQ","Unknown",914107792,25.239999771118164,2,"yahoo","MICRO_LIQUIDITY"
"RWAYL","Runway Growth Finance Corp. 7.50% Notes due 2027","NASDAQ","Unknown",914104170,25.239999771118164,2,"yahoo","MICRO_LIQUIDITY"
"GAINZ","Gladstone Investment Corporation 4.875% Notes due 2028","NASDAQ","Unknown",911910828,23.860000610351562,2,"yahoo","MICRO_LIQUIDITY"
"WOOF","Petco Health and Wellness Company, Inc. Class A Common Stock","NASDAQ","Unknown",896488077,2.809999942779541,2,"yahoo","MICROCAP_PRICE"
"EVGO","EVgo Inc. Class A Common Stock","NASDAQ","Unknown",896229753,2.9100000858306885,2,"yahoo","MICROCAP_PRICE"
"OLPX","Olaplex Holdings, Inc. Common Stock","NASDAQ","Unknown",894465953,1.340000033378601,2,"yahoo","MICROCAP_PRICE"
"ESPR","Esperion Therapeutics, Inc. Common Stock","NASDAQ","Unknown",884534717,3.700000047683716,2,"yahoo","MICROCAP_PRICE"
"BANFP","BancFirst Corporation - BFC Capital Trust II Cumulative Trust Preferred Securities","NASDAQ","Unknown",882355533,26.469999313354492,2,"yahoo","MICRO_LIQUIDITY"
"GSM","Ferroglobe PLC Ordinary Shares","NASDAQ","Unknown",865944041,4.639999866485596,2,"yahoo","MICROCAP_PRICE"
"OPENW","Opendoor Technologies Inc  Series K Warrants, each whole warrant exercisable to purchase one share of Common Stock at an exercise price of $9.00 per warrant","NASDAQ","Unknown",858409307,0.9,2,"mock","MICROCAP_PRICE"
"FGNXP","FG Nexus Inc. 8.00% Cumulative Preferred Stock","NASDAQ","Unknown",849463423,21.46500015258789,3,"yahoo","MICRO_LIQUIDITY, OVERBOUGHT_RSI"
"KYIVW","Kyivstar Group Ltd. Warrant","NASDAQ","Unknown",844396738,4.420000076293945,4,"yahoo","MICROCAP_PRICE, MICRO_LIQUIDITY"
"RUMBW","Rumble Inc. Warrant","NASDAQ","Unknown",843633101,1.94,2,"mock","MICROCAP_PRICE"
"GERN","Geron Corporation Common Stock","NASDAQ","Unknown",842628963,1.3200000524520874,2,"yahoo","MICROCAP_PRICE"
"HTZWW","Hertz Global Holdings, Inc Warrant","NASDAQ","Unknown",835068985,2.68,2,"mock","MICROCAP_PRICE"
"MRVI","Maravai LifeSciences Holdings, Inc. Class A Common Stock","NASDAQ","Unknown",831047201,3.25,2,"yahoo","MICROCAP_PRICE"
"SLDP","Solid Power, Inc. Class A Common Stock","NASDAQ","Unknown",811850173,4.25,2,"yahoo","MICROCAP_PRICE"
"INDI","indie Semiconductor, Inc. Class A Common Stock","NASDAQ","Unknown",775302725,3.5299999713897705,2,"yahoo","MICROCAP_PRICE"
"REAX","The Real Brokerage, Inc. Common Shares","NASDAQ","Unknown",773070000,3.6500000953674316,2,"yahoo","MICROCAP_PRICE"
"AXG","Solowin Holdings Class A Ordinary Share","NASDAQ","Unknown",769382074,4.110000133514404,3,"yahoo","MICROCAP_PRICE, HIGH_VOLATILITY"
"CRESW","Cresud S.A.C.I.F. y A. Warrant","NASDAQ","Unknown",767592841,1.25,2,"mock","MICROCAP_PRICE"
"BLDP","Ballard Power Systems, Inc. Common Shares","NASDAQ","Unknown",763876186,2.5399999618530273,2,"yahoo","MICROCAP_PRICE"
"SENEB","Seneca Foods Corp. Class B Common Stock","NASDAQ","Unknown",749910700,109.55999755859375,2,"yahoo","MICRO_LIQUIDITY"
"CCNEP","CNB Financial Corporation Depositary Shares, each representing a 1/40th ownership interest in a share of 7.125% Series A Fixed-Rate Non-Cumulative Perpetual Preferred Stock","NASDAQ","Unknown",736906000,25,2,"yahoo","MICRO_LIQUIDITY"
"CTMX","CytomX Therapeutics, Inc. Common Stock","NASDAQ","Unknown",721794783,4.260000228881836,2,"yahoo","MICROCAP_PRICE"
"GOSS","Gossamer Bio, Inc. Common Stock","NASDAQ","Unknown",717514366,3.0999999046325684,3,"yahoo","MICROCAP_PRICE, HIGH_VOLATILITY"
"EFSCP","Enterprise Financial Services Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 5% Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series A","NASDAQ","Unknown",716938318,19.371000289916992,2,"yahoo","MICRO_LIQUIDITY"
"GEGGL","Great Elm Group, Inc.  7.25% Notes due 2027","NASDAQ","Unknown",712451057,24.56999969482422,2,"yahoo","MICRO_LIQUIDITY"
"ACDC","ProFrac Holding Corp. Class A Common Stock","NASDAQ","Unknown",703588902,3.890000104904175,2,"yahoo","MICROCAP_PRICE"
"UXIN","Uxin Limited ADS","NASDAQ","Unknown",694790329,3.369999885559082,3,"yahoo","MICROCAP_PRICE, HIGH_VOLATILITY"
"DNUT","Krispy Kreme, Inc. Common Stock","NASDAQ","Unknown",688626000,4.019999980926514,2,"yahoo","MICROCAP_PRICE"
"ALTI","AlTi Global, Inc. Class A Common Stock","NASDAQ","Unknown",680471651,4.639999866485596,2,"yahoo","MICROCAP_PRICE"
"PROK","ProKidney Corp. Class A Ordinary Shares","NASDAQ","Unknown",673869009,2.240000009536743,3,"yahoo","MICROCAP_PRICE, HIGH_VOLATILITY"
"NEWTI","NewtekOne, Inc. 8.00% Fixed Rate Senior Notes due 2028","NASDAQ","Unknown",663313303,25.200000762939453,2,"yahoo","MICRO_LIQUIDITY"
"NEWTG","NewtekOne, Inc. 8.50% Fixed Rate Senior Notes due 2029","NASDAQ","Unknown",662126187,25.155000686645508,2,"yahoo","MICRO_LIQUIDITY"
"LYEL","Lyell Immunopharma, Inc. Common Stock","NASDAQ","Unknown",653096719,30.780000686645508,4,"yahoo","SPIKE_THEN_DROP, HIGH_VOLATILITY"
"DBVT","DBV Technologies S.A. American Depositary Shares","NASDAQ","Unknown",648381619,19.170000076293945,4,"yahoo","SPIKE_THEN_DROP, HIGH_VOLATILITY"
"DGICB","Donegal Group, Inc. Class B Common Stock","NASDAQ","Unknown",648189214,17.690000534057617,2,"yahoo","MICRO_LIQUIDITY"
"PRME","Prime Medicine, Inc. Common Stock","NASDAQ","Unknown",626371983,3.4700000286102295,2,"yahoo","MICROCAP_PRICE"
"IHRT","iHeartMedia, Inc. Class A Common Stock","NASDAQ","Unknown",624659443,4.159999847412109,2,"yahoo","MICROCAP_PRICE"
"GOGO","Gogo Inc. Common Stock","NASDAQ","Unknown",623761234,4.659999847412109,2,"yahoo","MICROCAP_PRICE"
"HIVE","HIVE Digital Technologies Ltd. Common Shares","NASDAQ","Unknown",613296955,2.5799999237060547,2,"yahoo","MICROCAP_PRICE"
"BTBT","Bit Digital, Inc. Ordinary Shares","NASDAQ","Unknown",611745431,1.8899999856948853,2,"yahoo","MICROCAP_PRICE"
"ASST","Strive, Inc. Class A Common Stock","NASDAQ","Unknown",601826904,0.7379999756813049,3,"yahoo","MICROCAP_PRICE, HIGH_VOLATILITY"
"TALK","Talkspace, Inc. Common Stock","NASDAQ","Unknown",601331730,3.630000114440918,2,"yahoo","MICROCAP_PRICE"
"HPK","HighPeak Energy, Inc. Common Stock","NASDAQ","Unknown",595282821,4.739999771118164,2,"yahoo","MICROCAP_PRICE"
"ECX","ECARX Holdings Inc. Class A Ordinary shares","NASDAQ","Unknown",594655645,1.7200000286102295,2,"yahoo","MICROCAP_PRICE"
"WHFCL","WhiteHorse Finance, Inc. 7.875% Notes due 2028","NASDAQ","Unknown",587582940,25.280000686645508,4,"yahoo","MICRO_LIQUIDITY, OVERBOUGHT_RSI"
"IVVD","Invivyd, Inc. Common Stock","NASDAQ","Unknown",575813400,2.4700000286102295,3,"yahoo","MICROCAP_PRICE, HIGH_VOLATILITY"
"LPTH","LightPath Technologies, Inc. Class A Common Stock","NASDAQ","Unknown",575425912,10.800000190734863,4,"yahoo","SPIKE_7D, HIGH_VOLATILITY"
"PACB","Pacific Biosciences of California, Inc. Common Stock","NASDAQ","Unknown",564566896,1.8700000047683716,2,"yahoo","MICROCAP_PRICE"
"LX","LexinFintech Holdings Ltd. American Depositary Shares","NASDAQ","Unknown",550221648,3.2699999809265137,2,"yahoo","MICROCAP_PRICE"
"IRWD","Ironwood Pharmaceuticals, Inc. Class A Common Stock","NASDAQ","Unknown",548227040,3.369999885559082,2,"yahoo","MICROCAP_PRICE"
"NHPAP","National Healthcare Properties, Inc. 7.375% Series A Cumulative Redeemable Perpetual Preferred Stock","NASDAQ","Unknown",544939724,19.170000076293945,2,"yahoo","MICRO_LIQUIDITY"
"MSBIP","Midland States Bancorp, Inc. Depositary Shares Each Representing a 1/40th Interest in a Share of 7.750% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series A","NASDAQ","Unknown",539224059,25.020000457763672,2,"yahoo","MICRO_LIQUIDITY"
"SABR","Sabre Corporation Common Stock","NASDAQ","Unknown",537043442,1.3600000143051147,2,"yahoo","MICROCAP_PRICE"
"FIP","FTAI Infrastructure Inc. Common Stock","NASDAQ","Unknown",536117465,4.610000133514404,2,"yahoo","MICROCAP_PRICE"
"STEX","Streamex Corp. Common Stock","NASDAQ","Unknown",533634007,3.0299999713897705,2,"yahoo","MICROCAP_PRICE"
"AUTL","Autolus Therapeutics plc American Depositary Share","NASDAQ","Unknown",529625139,1.9900000095367432,3,"yahoo","MICROCAP_PRICE, OVERBOUGHT_RSI"
"FEIM","Frequency Electronics, Inc. Common Stock","NASDAQ","Unknown",526428514,53.84000015258789,2,"yahoo","OVERBOUGHT_RSI, HIGH_VOLATILITY"
"ABSI","Absci Corporation Common Stock","NASDAQ","Unknown",524796643,3.490000009536743,2,"yahoo","MICROCAP_PRICE"
"NHPBP","National Healthcare Properties, Inc. 7.125% Series B Cumulative Redeemable Perpetual Preferred Stock","NASDAQ","Unknown",522482636,18.3799991607666,2,"yahoo","MICRO_LIQUIDITY"
"BWBBP","Bridgewater Bancshares, Inc. Depositary Shares, Each Representing a 1/100th Interest in a Share of 5.875% Non-Cumulative Perpetual Preferred Stock, Series A","NASDAQ","Unknown",522178977,18.93000030517578,2,"yahoo","MICRO_LIQUIDITY"
"RBBN","Ribbon Communications Inc. Common Stock","NASDAQ","Unknown",508606819,2.880000114440918,2,"yahoo","MICROCAP_PRICE"
"ARKO","ARKO Corp. Common Stock","NASDAQ","Unknown",505895732,4.539999961853027,2,"yahoo","MICROCAP_PRICE"
"CV","CapsoVision, Inc. Common Stock","NASDAQ","Unknown",500754075,10.6899995803833,4,"yahoo","SPIKE_THEN_DROP, HIGH_VOLATILITY"
"OPENL","Opendoor Technologies Inc  Series A Warrants, each whole warrant exercisable to purchase one share of Common Stock at an exercise price of $13.00 per warrant","NASDAQ","Unknown",496255958,0.5203,2,"mock","MICROCAP_PRICE"
"LAB","Standard BioTools Inc. Common Stock","NASDAQ","Unknown",492243730,1.2799999713897705,2,"yahoo","MICROCAP_PRICE"
"UROY","Uranium Royalty Corp. Common Stock","NASDAQ","Unknown",489768590,3.5399999618530273,2,"yahoo","MICROCAP_PRICE"
"VBNK","VersaBank Common Shares","NASDAQ","Unknown",487131414,14.979999542236328,2,"yahoo","OVERBOUGHT_RSI"
"GEVO","Gevo, Inc. Common Stock","NASDAQ","Unknown",484617612,2,2,"yahoo","MICROCAP_PRICE"
"RR","Richtech Robotics Inc. Class B Common Stock","NASDAQ","Unknown",484157552,3.2300000190734863,3,"yahoo","MICROCAP_PRICE, HIGH_VOLATILITY"
"EU","enCore Energy Corp. Common Shares","NASDAQ","Unknown",464378844,2.4800000190734863,3,"yahoo","MICROCAP_PRICE, HIGH_VOLATILITY"
"CLNE","Clean Energy Fuels Corp. Common Stock","NASDAQ","Unknown",460532098,2.0999999046325684,2,"yahoo","MICROCAP_PRICE"
"DHIL","Diamond Hill Investment Group, Inc. Class A Common Stock","NASDAQ","Unknown",458547672,169.5,3,"yahoo","OVERBOUGHT_RSI, HIGH_VOLATILITY"
"JFB","JFB Construction Holdings Class A Common Stock","NASDAQ","Unknown",452749792,14.619999885559082,4,"yahoo","SPIKE_THEN_DROP, HIGH_VOLATILITY"
"PURR","Hyperliquid Strategies Inc Common Stock","NASDAQ","Unknown",452211004,3.559999942779541,3,"yahoo","MICROCAP_PRICE, HIGH_VOLATILITY"
"STKL","SunOpta, Inc. Common Stock","NASDAQ","Unknown",449224285,3.799999952316284,2,"yahoo","MICROCAP_PRICE"
"IVA","Inventiva S.A. American Depository Shares","NASDAQ","Unknown",444830118,4.650000095367432,2,"yahoo","MICROCAP_PRICE"
